#wl,fl,unc,lq,uq,n
##double,double,double,double,double,int
884.5000,6.12600,0.27939,2.8850,9.9970,162
885.5000,4.91600,0.28057,2.2430,9.3630,161
886.5000,5.44100,0.27740,1.8310,8.9790,166
887.5000,5.77000,0.30408,2.7450,10.5570,165
888.5000,5.16500,0.22688,2.4710,8.3700,169
889.5000,5.96000,0.32642,2.3530,10.5070,156
890.5000,5.14400,0.26477,2.1830,9.2480,178
891.5000,5.24000,0.18686,3.0170,7.9750,176
892.5000,5.70500,0.24547,2.7190,9.0060,164
893.5000,5.89500,0.25203,2.7680,9.4550,176
894.5000,5.72800,0.26017,2.8290,9.7320,176
895.5000,6.24700,0.26959,3.0870,9.9920,164
896.5000,6.26500,0.24974,3.4320,10.0960,178
897.5000,6.75500,0.25788,3.5480,10.1930,166
898.5000,5.09200,0.24340,2.4580,9.1150,187
899.5000,5.64100,0.28850,2.9580,10.5910,175
900.5000,6.15700,0.25009,3.0120,9.7040,179
901.5000,5.79400,0.21601,3.1890,9.0810,186
902.5000,6.83000,0.23909,3.5300,10.3430,203
903.5000,6.46700,0.23350,3.6590,10.0450,187
904.5000,6.03800,0.21733,3.0380,8.9820,187
905.5000,5.94600,0.26181,2.9440,10.0660,185
906.5000,7.08600,0.28998,3.4570,11.2810,182
907.5000,7.15900,0.32837,3.3670,12.7240,203
908.5000,6.34300,0.27333,3.2450,11.1670,210
909.5000,5.33700,0.22455,2.5700,8.9370,201
910.5000,7.20500,0.29427,3.0310,11.3750,201
911.5000,6.42800,0.25906,3.0890,10.4710,203
912.5000,7.43100,0.23417,4.0840,10.9030,212
913.5000,7.32100,0.27941,3.7350,11.6970,203
914.5000,7.79400,0.23080,4.2540,10.9590,211
915.5000,7.86300,0.23906,4.4840,11.4290,211
916.5000,6.95100,0.22848,4.0840,10.7530,213
917.5000,7.25000,0.27834,3.4220,11.3340,202
918.5000,7.09700,0.24949,3.7990,10.9780,207
919.5000,7.70100,0.25790,4.1690,11.8020,219
920.5000,8.22600,0.30563,4.3860,13.4110,218
921.5000,6.94900,0.25154,3.9840,11.1870,205
922.5000,8.04400,0.27568,4.3160,12.2870,209
923.5000,8.02300,0.26132,4.5370,12.4460,229
924.5000,8.18400,0.29258,4.4790,13.0790,216
925.5000,7.78700,0.28437,4.0060,12.5750,227
926.5000,7.17600,0.20741,4.3150,10.8080,245
927.5000,7.39200,0.23865,4.0740,11.1050,217
928.5000,7.66500,0.25123,4.5350,12.0550,224
929.5000,8.27900,0.29800,4.5140,13.5920,232
930.5000,7.74100,0.27067,4.4000,12.5200,225
931.5000,7.94700,0.28911,4.0270,12.7960,230
932.5000,8.40800,0.28174,4.7110,13.4040,238
933.5000,8.01600,0.25881,4.5770,12.4100,229
934.5000,8.22400,0.24440,4.7570,11.8740,212
935.5000,7.26300,0.28908,3.7730,12.7670,242
936.5000,7.85300,0.26963,3.8700,12.0660,231
937.5000,8.80100,0.26952,5.1160,13.3440,233
938.5000,9.26600,0.26075,5.0180,13.2470,249
939.5000,8.27100,0.26814,4.1160,12.3720,237
940.5000,9.32800,0.21121,6.3120,12.8560,240
941.5000,9.98100,0.28576,5.6180,14.5820,246
942.5000,9.34900,0.23310,6.0110,13.1730,236
943.5000,9.14100,0.23645,5.4050,13.0010,258
944.5000,9.17700,0.23187,5.7110,12.8200,235
945.5000,9.38200,0.24743,5.9850,13.7150,244
946.5000,8.92800,0.21592,5.3670,12.2630,255
947.5000,9.30500,0.26457,5.5740,13.9570,251
948.5000,8.50400,0.26779,4.9810,13.6170,260
949.5000,8.18200,0.22600,4.6460,11.6920,243
950.5000,8.12200,0.23851,4.9840,12.6460,258
951.5000,9.39100,0.21357,5.7050,12.6320,263
952.5000,9.33000,0.21883,5.5320,12.5620,258
953.5000,8.13500,0.21811,4.9490,12.0770,267
954.5000,7.91200,0.27272,4.2510,12.9780,256
955.5000,7.24000,0.23734,4.2110,11.8650,260
956.5000,6.53000,0.22998,3.4010,10.6590,249
957.5000,7.73900,0.21484,4.5640,11.5190,262
958.5000,7.76100,0.23428,4.7410,12.2380,256
959.5000,8.03600,0.23438,4.4580,12.0020,259
960.5000,8.31800,0.22535,4.7530,12.0620,263
961.5000,8.53400,0.22182,5.0700,12.2920,265
962.5000,7.58100,0.20073,4.7910,11.3510,267
963.5000,8.72500,0.22778,4.9310,12.3330,264
964.5000,7.71600,0.23614,4.2320,11.8180,258
965.5000,8.08700,0.22634,4.4440,11.8270,266
966.5000,8.08500,0.24559,4.5130,12.5990,271
967.5000,9.24200,0.23087,5.4080,12.9810,269
968.5000,9.26400,0.25945,5.3100,13.7410,264
969.5000,7.98900,0.21989,4.8910,12.1440,272
970.5000,9.31800,0.23195,5.9770,13.5430,266
971.5000,9.44000,0.22888,5.5980,13.4470,294
972.5000,9.57400,0.25897,5.7610,14.2560,269
973.5000,9.65400,0.22868,6.1200,13.7730,280
974.5000,10.27100,0.27076,5.7020,14.6820,275
975.5000,10.20000,0.23321,5.8400,13.7690,289
976.5000,9.83200,0.23626,5.9450,13.7810,275
977.5000,9.61800,0.23262,5.8340,13.7020,286
978.5000,8.11900,0.24317,4.4490,12.6880,287
979.5000,9.49100,0.25648,5.2600,13.7200,272
980.5000,9.13400,0.24541,5.3910,13.6040,280
981.5000,9.67600,0.21890,5.9990,13.3770,284
982.5000,9.84600,0.24830,5.8540,14.1340,278
983.5000,9.29200,0.23988,5.5270,13.4250,271
984.5000,9.68500,0.22193,5.8050,13.2190,279
985.5000,9.03900,0.22738,5.2430,12.9470,287
986.5000,9.86900,0.26146,5.5140,14.1700,274
987.5000,10.09900,0.22757,5.8920,13.6560,291
988.5000,11.04600,0.22630,6.7780,14.4590,288
989.5000,10.11500,0.21663,6.4360,13.8140,290
990.5000,9.52300,0.24290,5.9240,14.2960,297
991.5000,10.18700,0.23190,6.4720,14.2330,280
992.5000,9.79300,0.24579,6.0300,14.2850,282
993.5000,9.52500,0.17430,6.7360,12.7030,293
994.5000,9.05300,0.21667,5.0230,12.4280,292
995.5000,8.81600,0.22422,5.6980,13.3610,292
996.5000,8.91100,0.21722,5.8570,13.2170,287
997.5000,8.66700,0.23741,4.7720,12.8300,288
998.5000,8.36000,0.22244,5.0250,12.6920,297
999.5000,9.39800,0.22375,5.0960,12.5840,280
1000.5000,8.56200,0.20253,5.2500,12.2070,295
1001.5000,8.36400,0.23500,4.8100,12.9370,299
1002.5000,7.94200,0.22813,4.5830,12.3260,288
1003.5000,7.91300,0.22934,4.2490,12.1270,295
1004.5000,9.00500,0.24235,4.1770,12.4880,294
1005.5000,8.64800,0.24294,4.5700,12.9010,294
1006.5000,8.80100,0.18734,5.8320,12.3540,303
1007.5000,9.05600,0.20886,5.5650,12.8840,307
1008.5000,8.94000,0.22416,5.1000,12.7610,292
1009.5000,9.24700,0.20843,5.9190,13.1150,298
1010.5000,8.68400,0.20785,5.3710,12.5830,301
1011.5000,8.98200,0.25697,4.6920,13.5490,297
