observationStartMJD,fieldRA,fiveSigmaDepth,airmass,fieldDec,filter,ra,dec,id
60560.236712962964,0.0,23.01983739191825,1.0689792477761682,-50.87289,u,0.0,-50.0,14
62329.40478009259,0.0,24.49335483066555,1.0716397915781644,-50.87289,g,0.0,-50.0,14
63145.106087962966,0.0,24.88402293099121,1.1000238455571172,-50.87289,g,0.0,-50.0,14
63065.37710648148,0.0,23.20250997340361,1.0687539402961872,-50.87289,u,0.0,-50.0,14
62437.14396990741,0.0,24.819188341739896,1.0995196465407713,-50.87289,g,0.0,-50.0,14
62443.06327546296,0.0,22.8055770330156,1.0713390592232315,-50.87289,u,0.0,-50.0,14
63049.39703703704,0.0,24.974387144751752,1.0742147066156518,-50.87289,g,0.0,-50.0,14
62801.146828703706,18.694117,25.170923319140716,1.0606304315613073,-49.677317,g,20.0,-50.0,15
61967.426724537036,18.694117,23.917751092820847,1.0610891208420328,-49.677317,g,20.0,-50.0,15
62801.13392361111,18.694117,25.035003009252645,1.0636947237028438,-49.677317,g,20.0,-50.0,15
60168.35105324074,18.694117,23.509956530481976,1.0613064806384778,-49.677317,u,20.0,-50.0,15
62738.31517361111,18.694117,23.433470570151332,1.061204550838086,-49.677317,u,20.0,-50.0,15
62360.358449074076,18.694117,24.84120863871851,1.0607118100382036,-49.677317,g,20.0,-50.0,15
61617.37451388889,18.694117,23.137478776860643,1.0637612931351075,-49.677317,u,20.0,-50.0,15
61713.13814814815,18.694117,24.49443056936767,1.0618722759058863,-49.677317,g,20.0,-50.0,15
61713.151354166665,18.694117,24.553885266674914,1.0670529730158558,-49.677317,g,20.0,-50.0,15
62110.045324074075,18.694117,24.708444086121556,1.0605797085031485,-49.677317,g,20.0,-50.0,15
60973.149363425924,18.694117,24.843892323300878,1.0607588607621328,-49.677317,g,20.0,-50.0,15
62835.0459837963,18.694117,24.714416580079234,1.0621487630111919,-49.677317,g,20.0,-50.0,15
61267.34850694444,18.694117,23.261991855666274,1.0607504000353583,-49.677317,u,20.0,-50.0,15
61706.137662037036,18.694117,23.408963813253887,1.0620117331180665,-49.677317,u,20.0,-50.0,15
60635.09081018518,18.694117,24.666373881118062,1.061878659871856,-49.677317,g,20.0,-50.0,15
60607.16125,18.694117,25.155308969887493,1.0608420686026907,-49.677317,g,20.0,-50.0,15
62355.35903935185,18.694117,22.994894498376542,1.062187081812974,-49.677317,u,20.0,-50.0,15
60607.179293981484,18.694117,25.03149515979699,1.066973489173177,-49.677317,g,20.0,-50.0,15
62823.07675925926,18.694117,24.491835838401474,1.062529564383842,-49.677317,g,20.0,-50.0,15
63181.05590277778,18.694117,23.320124084245634,1.097069788368323,-49.677317,u,20.0,-50.0,15
60904.357777777775,18.694117,24.859727518814232,1.063438498133699,-49.677317,g,20.0,-50.0,15
60564.278912037036,18.694117,24.92246500330182,1.0609377611166924,-49.677317,g,20.0,-50.0,15
63063.42387731482,18.694117,23.10402962093762,1.0614677141520663,-49.677317,u,20.0,-50.0,15
59875.16627314815,18.694117,23.364004725059942,1.0610995628664535,-49.677317,u,20.0,-50.0,15
61619.37008101852,18.694117,23.610146454479985,1.0634598466375491,-49.677317,u,20.0,-50.0,15
60202.26934027778,18.694117,23.568306923126016,1.0607878362633538,-49.677317,u,20.0,-50.0,15
60635.11162037037,18.694117,24.679751149475994,1.0728872022499532,-49.677317,g,20.0,-50.0,15
60560.28011574074,18.694117,22.89704601658611,1.0610413044139277,-49.677317,u,20.0,-50.0,15
60996.08945601852,18.694117,23.309225818312033,1.060576578997085,-49.677317,u,20.0,-50.0,15
60904.33153935185,18.694117,24.787377404447906,1.0622327021728033,-49.677317,g,20.0,-50.0,15
59876.15023148148,18.694117,23.45211665255601,1.061428449187075,-49.677317,u,20.0,-50.0,15
62333.42412037037,18.694117,24.622449008322693,1.0612040597235723,-49.677317,g,20.0,-50.0,15
62360.377754629626,18.694117,24.85819466630722,1.0663669641526936,-49.677317,g,20.0,-50.0,15
63452.3175,18.694117,23.336300510748547,1.0914762526283848,-49.677317,u,20.0,-50.0,15
62333.43638888889,18.694117,24.295397484398045,1.0609558898087634,-49.677317,g,20.0,-50.0,15
60965.169016203705,18.694117,23.281093710995663,1.0614323163549941,-49.677317,u,20.0,-50.0,15
61645.30642361111,18.694117,23.29383809341936,1.0614359006767793,-49.677317,u,20.0,-50.0,15
62829.06815972222,18.694117,23.2079363927392,1.0609589250280578,-49.677317,u,20.0,-50.0,15
61272.336909722224,18.694117,25.031256991833143,1.060732063125184,-49.677317,g,20.0,-50.0,15
62354.35159722222,18.694117,23.041403140974587,1.066454379889097,-49.677317,u,20.0,-50.0,15
62823.10229166667,18.694117,24.624951744326115,1.0627502442780927,-49.677317,g,20.0,-50.0,15
61738.05997685185,18.694117,22.908127394695974,1.0607423275928722,-49.677317,u,20.0,-50.0,15
60204.256875,18.694117,23.544861706020313,1.0608114847518841,-49.677317,u,20.0,-50.0,15
61265.36324074074,18.694117,25.06274848298842,1.061568079772042,-49.677317,g,20.0,-50.0,15
62389.27019675926,18.694117,23.232540360355348,1.0613224138228876,-49.677317,u,20.0,-50.0,15
61272.36262731482,18.694117,25.05602721870512,1.0698480798132342,-49.677317,g,20.0,-50.0,15
61967.413252314815,18.694117,23.72808896962543,1.0649830976839647,-49.677317,g,20.0,-50.0,15
60649.04287037037,18.694117,23.396311196211457,1.0606502015571067,-49.677317,u,20.0,-50.0,15
63458.344988425924,18.694117,24.846945388367292,1.0609110294500816,-49.677317,g,20.0,-50.0,15
62444.121145833335,18.694117,23.205351237605193,1.0609160823257808,-49.677317,u,20.0,-50.0,15
62351.369421296295,18.694117,24.312821989674045,1.0622788146382423,-49.677317,g,20.0,-50.0,15
62835.071377314816,18.694117,24.781991314912066,1.0632456827338106,-49.677317,g,20.0,-50.0,15
62742.30979166667,18.694117,23.144601178234186,1.0607493362527227,-49.677317,u,20.0,-50.0,15
63475.23856481481,18.694117,23.30943558169043,1.1160166367173918,-49.677317,u,20.0,-50.0,15
62739.31013888889,18.694117,24.828806412859407,1.0617242778089417,-49.677317,g,20.0,-50.0,15
61265.341782407406,18.694117,24.960235586035786,1.0626236010809298,-49.677317,g,20.0,-50.0,15
60648.043969907405,18.694117,23.397610223327288,1.060551711184133,-49.677317,u,20.0,-50.0,15
62739.32435185185,18.694117,24.880395299031825,1.0609806948969323,-49.677317,g,20.0,-50.0,15
62059.18188657407,18.694117,23.34418105711147,1.0606376286474177,-49.677317,u,20.0,-50.0,15
63191.06039351852,18.694117,24.359770703539358,1.0666622605262974,-49.677317,g,20.0,-50.0,15
