night,expDate,fiveSigmaDepth,filter,fieldDec,fieldRA,expMJD,obsTimes,absFlux,fluxErr
240,20767552,23.742949,i,-0.441474,1.011712,59820.36519,237.283810673,7.5922004633,0.0769213155
240,20769887,23.924634,i,-0.441474,1.011712,59820.392221,237.310894673,7.6360762423,0.0768969822
241,20846102,24.078082,r,-0.441474,1.011712,59821.274334,238.193122668,7.7336700938,0.076461567
241,20846179,24.079702,r,-0.493128,1.033665,59821.27523,238.194010668,7.5230486143,0.0764551038
241,20847357,24.039338,r,-0.441474,1.011712,59821.288866,238.207330668,7.7469070547,0.0765052784
241,20847435,24.039835,r,-0.493128,1.033665,59821.289761,238.208218668,7.7118934839,0.0765021061
241,20849040,23.968344,r,-0.493128,1.033665,59821.308335,238.226866668,7.6537602514,0.0765218652
241,20850031,23.854242,r,-0.493128,1.033665,59821.319806,238.238410668,7.5128353195,0.0765528976
255,22052885,21.806044,y,-0.441474,1.011712,59835.241733,252.16047459,7.4319701244,0.0754191602
255,22053194,21.847259,y,-0.493128,1.033665,59835.24531,252.16402659,7.4620717452,0.0754128347
256,22142446,22.45307,z,-0.493128,1.033665,59836.278314,253.196770584,7.5851354078,0.0752989705
256,22143685,22.375114,z,-0.493128,1.033665,59836.292661,253.211422584,7.4944075747,0.0752812007
256,22144414,22.378087,z,-0.441474,1.011712,59836.301099,253.219858584,7.458373767,0.0752775441
256,22145980,22.448818,z,-0.441474,1.011712,59836.319216,253.238062584,7.6108429429,0.0752274993
259,22405693,23.982442,r,-0.441474,1.011712,59839.325159,256.243942567,7.479705722,0.0745697187
259,22407333,24.235672,r,-0.441474,1.011712,59839.344134,256.262590567,7.4009103979,0.0745953412
260,22485870,24.298616,r,-0.441474,1.011712,59840.253127,257.171902562,7.4785455223,0.0746759586
260,22487654,24.288458,r,-0.441474,1.011712,59840.273774,257.192326561,7.4891015683,0.0746892663
263,22745471,23.558707,i,-0.493128,1.033665,59843.25777,260.176450545,7.390626708,0.0744248904
263,22747398,23.784371,i,-0.493128,1.033665,59843.280079,260.198650545,7.5433511683,0.0744175908
264,22830783,24.273685,r,-0.493128,1.033665,59844.245179,261.163906539,7.3663172842,0.0745150945
264,22832027,24.31129,r,-0.493128,1.033665,59844.259581,261.178114539,7.3700075073,0.0745482461
269,23259029,23.874237,r,-0.441474,1.011712,59849.20173,266.120278512,7.3889516845,0.0739673489
269,23260448,23.886783,r,-0.441474,1.011712,59849.218156,266.136706511,7.413700025,0.073964479
270,23348911,23.496177,i,-0.441474,1.011712,59850.242034,267.160570506,7.301187661,0.0737802823
270,23349143,23.502276,i,-0.493128,1.033665,59850.244719,267.163234506,7.3859586668,0.0737762304
270,23350246,23.404372,i,-0.441474,1.011712,59850.257486,267.176110506,7.3939463463,0.0738235475
270,23350324,23.40383,i,-0.493128,1.033665,59850.258387,267.176998506,7.358509174,0.0738177399
271,23432383,22.939893,u,-0.441474,1.011712,59851.208141,268.1267145,7.3549491268,0.0735372714
271,23432499,22.964447,u,-0.493128,1.033665,59851.209488,268.1280465,7.4871635021,0.0735493279
277,23954598,23.61342,i,-0.493128,1.033665,59857.252296,274.170886467,7.1845703126,0.07231029
277,23955983,23.540445,i,-0.493128,1.033665,59857.268322,274.186870466,7.203154796,0.0723055213
279,24120437,21.672762,y,-0.441474,1.011712,59859.17173,276.090298456,7.1266729181,0.0721054511
279,24120979,21.707676,y,-0.493128,1.033665,59859.177999,276.096514456,7.2432659908,0.0720976217
281,24293050,21.452697,y,-0.493128,1.033665,59861.169569,278.088298445,7.2791885234,0.0722542705
281,24293284,21.468523,y,-0.441474,1.011712,59861.172269,278.090962445,7.2249270222,0.0722429571
281,24293438,21.444632,y,-0.441474,1.011712,59861.174059,278.092738445,7.2202755611,0.072246891
283,24481833,22.638718,z,-0.493128,1.033665,59863.354558,280.273222432,7.1970698176,0.0731050984
283,24482108,22.622494,z,-0.441474,1.011712,59863.357732,280.276330432,7.2480849933,0.073125161
283,24482750,22.546335,z,-0.493128,1.033665,59863.365164,280.283878432,7.2924589611,0.0730945174
283,24484200,22.271971,z,-0.441474,1.011712,59863.381954,280.300750432,7.2449734496,0.0731393924
284,24555615,22.334503,z,-0.441474,1.011712,59864.208508,281.127034428,7.3179238131,0.0732104485
284,24557732,22.469048,z,-0.441474,1.011712,59864.233011,281.151454427,7.1912567779,0.0732035466
284,24558006,22.460128,z,-0.493128,1.033665,59864.236186,281.155006427,7.350611713,0.0732003857
284,24560192,22.587098,z,-0.493128,1.033665,59864.261488,281.180314427,7.269946432,0.0732557881
286,24724760,22.993341,i,-0.493128,1.033665,59866.166204,283.084630417,7.3268856648,0.0732150741
286,24724914,23.000762,i,-0.441474,1.011712,59866.167993,283.086406417,7.369576224,0.0731951736
286,24725965,23.106111,i,-0.493128,1.033665,59866.180152,283.098838417,7.3086287117,0.0732578935
286,24726119,23.127277,i,-0.441474,1.011712,59866.181942,283.100614417,7.4423560782,0.0732688536
286,24730811,23.161071,i,-0.441474,1.011712,59866.236245,283.154782416,7.2548902933,0.0732852831
286,24732307,23.205088,i,-0.441474,1.011712,59866.253559,283.172098416,7.2870483106,0.0732723467
289,24982110,24.37503,r,-0.493128,1.033665,59869.144793,286.0634264,7.2756646819,0.0736587216
289,24982187,24.385028,r,-0.441474,1.011712,59869.145688,286.0643144,7.4592087713,0.0736606087
289,24983519,24.475568,r,-0.493128,1.033665,59869.161111,286.0798544,7.4089041376,0.0736885127
289,24983597,24.484906,r,-0.441474,1.011712,59869.162006,286.0807424,7.3919280149,0.0736764608
295,25504915,24.210484,g,-0.441474,1.011712,59875.195781,292.114258366,7.3878177734,0.0740505098
295,25506325,24.572667,g,-0.441474,1.011712,59875.212098,292.130686366,7.4282562838,0.0740482761
296,25585834,23.021038,u,-0.493128,1.033665,59876.132349,293.051098361,7.399104511,0.0741760926
297,25671840,24.371887,r,-0.493128,1.033665,59877.12778,294.046546355,7.392116778,0.074497573
297,25672745,24.383579,r,-0.493128,1.033665,59877.138263,294.056758355,7.5250215092,0.0745310537
299,25849222,24.993408,g,-0.493128,1.033665,59879.180813,296.099602344,7.4514249152,0.074467327
299,25850933,25.074744,g,-0.493128,1.033665,59879.200623,296.119138344,7.5165348482,0.0745220566
315,27238044,23.150786,i,-0.441474,1.011712,59895.255146,312.173734254,7.6016181087,0.0752883934
315,27239278,23.255456,i,-0.441474,1.011712,59895.269426,312.187942254,7.5573777655,0.0752817742
324,27999686,22.928074,u,-0.441474,1.011712,59904.070448,320.988910205,7.634970262,0.0768800675
327,28260126,24.14817,r,-0.493128,1.033665,59907.084799,324.003226188,7.8212206214,0.0771861638
327,28261236,24.22775,r,-0.493128,1.033665,59907.097647,324.016102188,7.8368405813,0.0771916138
328,28348473,23.415723,i,-0.493128,1.033665,59908.107334,325.025758182,7.6932779136,0.077294157
328,28350100,23.472834,i,-0.493128,1.033665,59908.126168,325.044850182,7.7914375382,0.0773146857
329,28427849,21.765286,z,-0.441474,1.011712,59909.026037,325.944838177,7.6559642845,0.0777667387
329,28427888,21.764846,z,-0.493128,1.033665,59909.026486,325.945282177,7.8738033214,0.0777725613
329,28429259,23.022769,z,-0.441474,1.011712,59909.042352,325.960822177,7.8203321948,0.0777657334
329,28429298,23.021492,z,-0.493128,1.033665,59909.042804,325.961266177,7.7290414363,0.0777700557
334,28860915,21.437574,y,-0.493128,1.033665,59914.038375,330.957154149,7.7082569707,0.0773327603
334,28861147,21.451586,y,-0.441474,1.011712,59914.041059,330.959818149,7.7409908736,0.0773332893
340,29381863,21.726726,y,-0.493128,1.033665,59920.067865,336.986674115,7.754118694,0.0769992313
346,29907993,24.45896,r,-0.441474,1.011712,59926.157338,343.076134081,7.7929958671,0.0765396263
346,29909291,24.300455,r,-0.441474,1.011712,59926.17235,343.090786081,7.7174089281,0.0765145259
346,29912339,24.251425,r,-0.441474,1.011712,59926.20763,343.126306081,7.5209926997,0.0764507249
348,30079489,24.426027,g,-0.441474,1.011712,59928.142243,345.06081407,7.6017216274,0.0762579194
348,30080996,24.288625,g,-0.441474,1.011712,59928.15968,345.07813007,7.6344042862,0.0762831477
350,30243458,21.712204,y,-0.493128,1.033665,59930.040024,346.958470059,7.8126401551,0.0765015242
352,30420503,25.007326,g,-0.493128,1.033665,59932.089163,349.007974048,7.7428406318,0.076476799
352,30421869,25.190945,g,-0.493128,1.033665,59932.104968,349.023514048,7.6631387317,0.0764920467
359,31025774,23.752495,i,-0.441474,1.011712,59939.094616,356.013406009,7.6370556557,0.0763578369
359,31027794,23.604233,i,-0.441474,1.011712,59939.117994,356.036494009,7.6733108468,0.076329425
364,31461324,23.793053,i,-0.493128,1.033665,59944.1357,361.054137981,7.4444788609,0.0743508169
364,31463179,23.759063,i,-0.493128,1.033665,59944.157175,361.07589398,7.3961334694,0.0743170501
366,31638754,22.779782,i,-0.441474,1.011712,59946.189292,363.108081969,7.4124011226,0.0737630247
366,31640809,22.862339,i,-0.441474,1.011712,59946.213071,363.131613969,7.372941159,0.0737084474
367,31712245,22.16715,z,-0.441474,1.011712,59947.039877,363.958341964,7.1837093139,0.0731983128
367,31712364,22.16819,z,-0.493128,1.033665,59947.041256,363.959673964,7.3977040352,0.0731991362
367,31713926,22.461265,z,-0.441474,1.011712,59947.059338,363.977877964,7.3125974549,0.0732009218
367,31714056,22.492653,z,-0.493128,1.033665,59947.060836,363.979653964,7.330680051,0.073209193
370,31977248,21.746362,y,-0.441474,1.011712,59950.107048,367.025493947,7.2327925232,0.0725820554
374,32325236,23.43095,i,-0.493128,1.033665,59954.134678,371.053461925,7.1102831781,0.0714201973
374,32327112,23.388169,i,-0.493128,1.033665,59954.156393,371.075217925,7.2219306446,0.0714115979
385,33272558,24.357011,r,-0.493128,1.033665,59965.099061,382.017597863,6.7248471617,0.0668304407
385,33274603,23.823676,r,-0.493128,1.033665,59965.122729,382.041573863,6.6462128587,0.066803789
395,34140317,23.242113,i,-0.441474,1.011712,59975.142558,392.061321807,6.5470845954,0.0653585046
398,34392591,22.093952,y,-0.441474,1.011712,59978.062403,394.981065791,6.5850930028,0.0654624185
398,34393289,22.103867,y,-0.493128,1.033665,59978.070475,394.989057791,6.5220469838,0.0654393124
399,34479780,21.974198,y,-0.441474,1.011712,59979.071534,395.990277785,6.5409532698,0.0656632564
400,34570713,21.744558,y,-0.493128,1.033665,59980.123995,397.042557779,6.5713727438,0.0656990801
404,34908026,22.216145,z,-0.493128,1.033665,59984.028083,400.946649757,6.5858345773,0.0655817786
