obsTimes,filter,absFlux
442.0002215279,g,6.487729893
443.0001095223,r,6.5193688582
443.0001095223,g,6.5193688582
443.9999975167,r,6.5712018019
443.9999975167,g,6.5712018019
444.9998855111,r,6.5597194069
444.9998855111,g,6.5597194069
446.0002175055,r,6.5898405169
446.0002175055,g,6.5898405169
447.0001054999,r,6.6015938786
447.0001054999,g,6.6015938786
447.9999934943,r,6.7230479452
447.9999934943,g,6.7230479452
448.9998814887,r,6.826502974
448.9998814887,g,6.826502974
450.0002134831,r,6.7329790194
450.0002134831,g,6.7329790194
451.0001014775,r,6.8326691586
451.0001014775,g,6.8326691586
451.9999894719,r,6.896413423
451.9999894719,g,6.896413423
452.9998774663,r,6.6248528259
452.9998774663,g,6.6248528259
454.0002094607,r,6.7073163544
454.0002094607,g,6.7073163544
455.0000974551,r,6.950436166
455.0000974551,g,6.950436166
455.9999854496,r,7.0680209011
455.9999854496,g,7.0680209011
456.999873444,r,7.0517789041
456.999873444,g,7.0517789041
458.0002054384,r,7.1728927448
458.0002054384,g,7.1728927448
459.0000934328,r,7.1605829668
459.0000934328,g,7.1605829668
459.9999814272,r,7.2813855654
459.9999814272,g,7.2813855654
460.9998694216,r,7.094400187
460.9998694216,g,7.094400187
462.000201416,r,7.0106648085
462.000201416,g,7.0106648085
463.0000894104,r,6.9502941601
463.0000894104,g,6.9502941601
463.9999774048,r,6.9375397775
463.9999774048,g,6.9375397775
464.9998653992,r,6.9287223885
464.9998653992,g,6.9287223885
466.0001973936,r,6.838910926
466.0001973936,g,6.838910926
467.000085388,r,6.7187954761
467.000085388,g,6.7187954761
467.9999733824,r,6.7213600164
467.9999733824,g,6.7213600164
468.9998613768,r,6.8504578799
468.9998613768,g,6.8504578799
470.0001933712,r,6.9315004227
470.0001933712,g,6.9315004227
471.0000813657,r,6.90857443
471.0000813657,g,6.90857443
471.9999693601,r,6.8294195704
471.9999693601,g,6.8294195704
472.9998573545,r,7.0415917297
472.9998573545,g,7.0415917297
474.0001893489,r,6.9945250505
474.0001893489,g,6.9945250505
475.0000773433,r,7.0525813236
475.0000773433,g,7.0525813236
475.9999653377,r,6.9537826674
475.9999653377,g,6.9537826674
476.9998533321,r,6.9702095159
476.9998533321,g,6.9702095159
478.0001853265,r,6.8920732795
478.0001853265,g,6.8920732795
479.0000733209,r,7.0227715275
479.0000733209,g,7.0227715275
479.9999613153,r,7.140324436
479.9999613153,g,7.140324436
480.9998493097,r,6.89991704
480.9998493097,g,6.89991704
482.0001813041,r,6.8199229762
482.0001813041,g,6.8199229762
483.0000692985,r,6.6749608996
483.0000692985,g,6.6749608996
483.9999572929,r,6.8614538807
483.9999572929,g,6.8614538807
484.9998452874,r,6.8107028798
484.9998452874,g,6.8107028798
486.0001772818,r,6.7465642634
486.0001772818,g,6.7465642634
487.0000652762,r,6.7434735376
487.0000652762,g,6.7434735376
487.9999532706,r,6.7901638518
487.9999532706,g,6.7901638518
488.999841265,r,6.7473706792
488.999841265,g,6.7473706792
490.0001732594,r,6.8889236696
490.0001732594,g,6.8889236696
491.0000612538,r,6.6617857951
491.0000612538,g,6.6617857951
491.9999492482,r,6.7977665588
491.9999492482,g,6.7977665588
492.9998372426,r,6.8785111735
492.9998372426,g,6.8785111735
494.000169237,r,6.51607393
494.000169237,g,6.51607393
495.0000572314,r,6.6519376188
495.0000572314,g,6.6519376188
495.9999452258,r,6.722830531
495.9999452258,g,6.722830531
496.9998332202,r,6.5200397402
496.9998332202,g,6.5200397402
498.0001652146,r,6.6988154782
498.0001652146,g,6.6988154782
499.000053209,r,6.6076558313
499.000053209,g,6.6076558313
499.9999412035,r,6.2693041283
499.9999412035,g,6.2693041283
500.9998291979,r,6.2835947429
500.9998291979,g,6.2835947429
502.0001611923,r,6.5373229916
502.0001611923,g,6.5373229916
503.0000491867,r,6.4728050853
503.0000491867,g,6.4728050853
503.9999371811,r,6.7153793164
503.9999371811,g,6.7153793164
504.9998251755,r,6.578327692
504.9998251755,g,6.578327692
506.0001571699,r,6.8781713955
506.0001571699,g,6.8781713955
507.0000451643,r,6.6758894272
507.0000451643,g,6.6758894272
507.9999331587,r,6.3008193954
507.9999331587,g,6.3008193954
508.9998211531,r,6.0706968478
508.9998211531,g,6.0706968478
510.0001531475,r,6.0044669559
510.0001531475,g,6.0044669559
511.0000411419,r,6.1178762418
511.0000411419,g,6.1178762418
511.9999291363,r,6.0861362109
511.9999291363,g,6.0861362109
512.9998171307,r,6.0029813902
512.9998171307,g,6.0029813902
514.0001491252,r,5.8291733623
514.0001491252,g,5.8291733623
515.0000371196,r,5.9137961126
515.0000371196,g,5.9137961126
515.999925114,r,5.7687528622
515.999925114,g,5.7687528622
516.9998131084,r,5.8661493325
516.9998131084,g,5.8661493325
518.0001451028,r,5.7989302905
518.0001451028,g,5.7989302905
519.0000330972,r,5.811644989
519.0000330972,g,5.811644989
519.9999210916,r,5.8882883036
519.9999210916,g,5.8882883036
520.999809086,r,6.025078306
520.999809086,g,6.025078306
522.0001410804,r,5.9957008466
522.0001410804,g,5.9957008466
523.0000290748,r,5.8707783744
523.0000290748,g,5.8707783744
523.9999170692,r,5.8214983209
523.9999170692,g,5.8214983209
524.9998050636,r,5.8486827915
524.9998050636,g,5.8486827915
526.000137058,r,5.8524915247
526.000137058,g,5.8524915247
527.0000250524,r,5.7964349111
527.0000250524,g,5.7964349111
527.9999130468,r,5.8983872202
527.9999130468,g,5.8983872202
528.9998010413,r,5.8934512897
528.9998010413,g,5.8934512897
530.0001330357,r,5.9358743534
530.0001330357,g,5.9358743534
531.0000210301,r,5.9341693815
531.0000210301,g,5.9341693815
531.9999090245,r,5.9362710877
531.9999090245,g,5.9362710877
532.9997970189,r,5.8801511652
532.9997970189,g,5.8801511652
534.0001290133,r,5.9308335295
534.0001290133,g,5.9308335295
535.0000170077,r,5.854192509
535.0000170077,g,5.854192509
535.9999050021,r,5.9119988983
535.9999050021,g,5.9119988983
536.9997929965,r,5.9378755857
536.9997929965,g,5.9378755857
538.0001249909,r,6.0300700593
538.0001249909,g,6.0300700593
539.0000129853,r,5.9736024159
539.0000129853,g,5.9736024159
539.9999009797,r,5.9548209027
539.9999009797,g,5.9548209027
540.9997889741,r,6.1210518114
540.9997889741,g,6.1210518114
542.0001209685,r,6.2075386491
542.0001209685,g,6.2075386491
543.000008963,r,6.3154449749
543.000008963,g,6.3154449749
543.9998969574,r,6.2746662209
543.9998969574,g,6.2746662209
544.9997849518,r,6.2530070788
544.9997849518,g,6.2530070788
546.0001169462,r,6.2905635506
546.0001169462,g,6.2905635506
547.0000049406,r,6.1250569432
547.0000049406,g,6.1250569432
547.999892935,r,6.2872681553
547.999892935,g,6.2872681553
548.9997809294,r,6.4005987301
548.9997809294,g,6.4005987301
550.0001129238,r,6.3243219137
550.0001129238,g,6.3243219137
551.0000009182,r,6.3753985922
551.0000009182,g,6.3753985922
551.9998889126,r,6.2201418505
551.9998889126,g,6.2201418505
553.000220907,r,6.2555088582
553.000220907,g,6.2555088582
554.0001089014,r,6.3491316982
554.0001089014,g,6.3491316982
554.9999968958,r,6.2776710949
554.9999968958,g,6.2776710949
555.9998848902,r,6.1705995213
555.9998848902,g,6.1705995213
557.0002168846,r,6.4067391202
557.0002168846,g,6.4067391202
558.0001048791,r,6.4362981177
558.0001048791,g,6.4362981177
558.9999928735,r,6.5070208127
558.9999928735,g,6.5070208127
559.9998808679,r,6.2365328186
559.9998808679,g,6.2365328186
561.0002128623,r,5.9517164159
561.0002128623,g,5.9517164159
562.0001008567,r,6.0515338451
562.0001008567,g,6.0515338451
562.9999888511,r,5.9749096422
562.9999888511,g,5.9749096422
563.9998768455,r,6.0124675577
563.9998768455,g,6.0124675577
565.0002088399,r,6.0212527717
565.0002088399,g,6.0212527717
566.0000968343,r,5.8933356493
566.0000968343,g,5.8933356493
566.9999848287,r,5.7688874035
566.9999848287,g,5.7688874035
567.9998728231,r,5.9766737449
567.9998728231,g,5.9766737449
569.0002048175,r,5.9880209144
569.0002048175,g,5.9880209144
570.0000928119,r,5.8628373522
570.0000928119,g,5.8628373522
570.9999808063,r,6.0670799739
570.9999808063,g,6.0670799739
571.9998688008,r,5.8903784901
571.9998688008,g,5.8903784901
573.0002007952,r,5.9674888767
573.0002007952,g,5.9674888767
574.0000887896,r,5.8095286478
574.0000887896,g,5.8095286478
574.999976784,r,5.76225674
574.999976784,g,5.76225674
575.9998647784,r,5.8904192431
575.9998647784,g,5.8904192431
577.0001967728,r,5.9252739541
577.0001967728,g,5.9252739541
578.0000847672,r,5.8397137024
578.0000847672,g,5.8397137024
578.9999727616,r,5.9585076825
578.9999727616,g,5.9585076825
579.999860756,r,5.8982135124
579.999860756,g,5.8982135124
581.0001927504,r,5.8412077877
581.0001927504,g,5.8412077877
582.0000807448,r,5.8452041033
582.0000807448,g,5.8452041033
582.9999687392,r,5.6026129375
582.9999687392,g,5.6026129375
583.9998567336,r,5.8382873185
583.9998567336,g,5.8382873185
585.000188728,r,5.8110452342
585.000188728,g,5.8110452342
586.0000767224,r,5.8934458166
586.0000767224,g,5.8934458166
586.9999647169,r,5.7865307801
586.9999647169,g,5.7865307801
587.9998527113,r,5.7147772112
587.9998527113,g,5.7147772112
589.0001847057,r,5.7998067672
589.0001847057,g,5.7998067672
590.0000727001,r,5.7912696221
590.0000727001,g,5.7912696221
590.9999606945,r,6.0233871499
590.9999606945,g,6.0233871499
591.9998486889,r,6.006450638
591.9998486889,g,6.006450638
593.0001806833,r,5.9762284189
593.0001806833,g,5.9762284189
594.0000686777,r,5.8047185269
594.0000686777,g,5.8047185269
594.9999566721,r,5.7976512752
594.9999566721,g,5.7976512752
595.9998446665,r,5.9832333138
595.9998446665,g,5.9832333138
597.0001766609,r,6.0931830931
597.0001766609,g,6.0931830931
598.0000646553,r,6.4515217606
598.0000646553,g,6.4515217606
598.9999526497,r,6.3363467584
598.9999526497,g,6.3363467584
599.9998406441,r,6.2746813834
599.9998406441,g,6.2746813834
601.0001726386,r,6.1044776002
601.0001726386,g,6.1044776002
602.000060633,r,5.9476209318
602.000060633,g,5.9476209318
602.9999486274,r,6.0372101091
602.9999486274,g,6.0372101091
603.9998366218,r,5.7748267301
603.9998366218,g,5.7748267301
605.0001686162,r,5.7546622032
605.0001686162,g,5.7546622032
606.0000566106,r,5.5651827406
606.0000566106,g,5.5651827406
606.999944605,r,5.5306327796
606.999944605,g,5.5306327796
607.9998325994,r,5.3950777827
607.9998325994,g,5.3950777827
609.0001645938,r,5.4521472345
609.0001645938,g,5.4521472345
610.0000525882,r,5.5079268563
610.0000525882,g,5.5079268563
610.9999405826,r,5.6192632439
610.9999405826,g,5.6192632439
611.999828577,r,5.7074835943
611.999828577,g,5.7074835943
613.0001605714,r,5.738687371
613.0001605714,g,5.738687371
614.0000485658,r,5.6178923222
614.0000485658,g,5.6178923222
614.9999365602,r,5.8119489662
614.9999365602,g,5.8119489662
615.9998245547,r,5.6700347867
615.9998245547,g,5.6700347867
617.0001565491,r,5.7638854541
617.0001565491,g,5.7638854541
618.0000445435,r,5.8423248972
618.0000445435,g,5.8423248972
618.9999325379,r,5.805929224
618.9999325379,g,5.805929224
619.9998205323,r,5.7402595356
619.9998205323,g,5.7402595356
621.0001525267,r,5.8015432241
621.0001525267,g,5.8015432241
622.0000405211,r,5.7211026856
622.0000405211,g,5.7211026856
622.9999285155,r,5.6757470197
622.9999285155,g,5.6757470197
623.9998165099,r,5.8268625428
623.9998165099,g,5.8268625428
625.0001485043,r,5.8944224453
625.0001485043,g,5.8944224453
626.0000364987,r,6.1344620623
626.0000364987,g,6.1344620623
626.9999244931,r,5.9455780168
626.9999244931,g,5.9455780168
627.9998124875,r,5.999653058
627.9998124875,g,5.999653058
629.0001444819,r,6.143281378
629.0001444819,g,6.143281378
630.0000324764,r,6.0825457292
630.0000324764,g,6.0825457292
630.9999204708,r,5.9600552916
630.9999204708,g,5.9600552916
631.9998084652,r,6.0590726151
631.9998084652,g,6.0590726151
633.0001404596,r,6.1666914999
633.0001404596,g,6.1666914999
634.000028454,r,6.3271808914
634.000028454,g,6.3271808914
634.9999164484,r,6.3243815099
634.9999164484,g,6.3243815099
635.9998044428,r,6.1528489702
635.9998044428,g,6.1528489702
637.0001364372,r,6.6275646589
637.0001364372,g,6.6275646589
638.0000244316,r,6.8614762872
638.0000244316,g,6.8614762872
638.999912426,r,6.5597524063
638.999912426,g,6.5597524063
639.9998004204,r,6.7502235092
639.9998004204,g,6.7502235092
641.0001324148,r,6.6782052233
641.0001324148,g,6.6782052233
642.0000204092,r,6.4449185889
642.0000204092,g,6.4449185889
642.9999084036,r,6.5744885964
642.9999084036,g,6.5744885964
643.9997963981,r,6.5208745087
643.9997963981,g,6.5208745087
645.0001283925,r,6.6787053464
645.0001283925,g,6.6787053464
646.0000163869,r,6.5659648589
646.0000163869,g,6.5659648589
646.9999043813,r,6.6986216599
646.9999043813,g,6.6986216599
647.9997923757,r,6.9320146367
647.9997923757,g,6.9320146367
649.0001243701,r,6.8308933015
649.0001243701,g,6.8308933015
650.0000123645,r,6.6621763336
650.0000123645,g,6.6621763336
650.9999003589,r,6.6362003775
650.9999003589,g,6.6362003775
651.9997883533,r,6.8045511848
651.9997883533,g,6.8045511848
653.0001203477,r,6.8739328167
653.0001203477,g,6.8739328167
654.0000083421,r,7.1026339389
654.0000083421,g,7.1026339389
654.9998963365,r,6.7603872624
654.9998963365,g,6.7603872624
655.9997843309,r,6.6525773585
655.9997843309,g,6.6525773585
657.0001163253,r,6.537725132
657.0001163253,g,6.537725132
658.0000043197,r,6.4485582474
658.0000043197,g,6.4485582474
658.9998923142,r,6.3671457607
658.9998923142,g,6.3671457607
659.9997803086,r,6.5377757295
659.9997803086,g,6.5377757295
661.000112303,r,6.6416062601
661.000112303,g,6.6416062601
662.0000002974,r,7.1041233536
662.0000002974,g,7.1041233536
662.9998882918,r,7.0906618704
662.9998882918,g,7.0906618704
664.0002202862,r,7.0593903443
664.0002202862,g,7.0593903443
665.0001082806,r,7.3095056658
665.0001082806,g,7.3095056658
665.999996275,r,7.1321347029
665.999996275,g,7.1321347029
666.9998842694,r,7.0925713395
666.9998842694,g,7.0925713395
668.0002162638,r,7.2302934542
668.0002162638,g,7.2302934542
669.0001042582,r,7.1929110723
669.0001042582,g,7.1929110723
669.9999922526,r,7.0986387507
669.9999922526,g,7.0986387507
670.999880247,r,7.3998989883
670.999880247,g,7.3998989883
672.0002122414,r,7.3356297937
672.0002122414,g,7.3356297937
673.0001002358,r,7.4243671673
673.0001002358,g,7.4243671673
673.9999882303,r,7.221127438
673.9999882303,g,7.221127438
674.9998762247,r,7.1284154143
674.9998762247,g,7.1284154143
676.0002082191,r,7.2822505806
676.0002082191,g,7.2822505806
677.0000962135,r,7.2148578229
677.0000962135,g,7.2148578229
677.9999842079,r,7.1424653129
677.9999842079,g,7.1424653129
678.9998722023,r,6.9638884926
678.9998722023,g,6.9638884926
680.0002041967,r,7.0232613257
680.0002041967,g,7.0232613257
681.0000921911,r,6.9346433401
681.0000921911,g,6.9346433401
681.9999801855,r,6.7882357019
681.9999801855,g,6.7882357019
682.9998681799,r,7.1746272914
682.9998681799,g,7.1746272914
684.0002001743,r,7.0208520121
684.0002001743,g,7.0208520121
685.0000881687,r,7.2105996898
685.0000881687,g,7.2105996898
685.9999761631,r,7.3947115472
685.9999761631,g,7.3947115472
686.9998641575,r,7.452074114
686.9998641575,g,7.452074114
688.000196152,r,7.4440097994
688.000196152,g,7.4440097994
689.0000841464,r,7.4920569516
689.0000841464,g,7.4920569516
689.9999721408,r,7.5954137961
689.9999721408,g,7.5954137961
690.9998601352,r,7.6469736302
690.9998601352,g,7.6469736302
692.0001921296,r,7.707879077
692.0001921296,g,7.707879077
693.000080124,r,7.9510876857
693.000080124,g,7.9510876857
693.9999681184,r,7.8143329862
693.9999681184,g,7.8143329862
694.9998561128,r,7.8462552934
694.9998561128,g,7.8462552934
696.0001881072,r,7.7656450798
696.0001881072,g,7.7656450798
697.0000761016,r,7.6837975289
697.0000761016,g,7.6837975289
697.999964096,r,7.4709267104
697.999964096,g,7.4709267104
698.9998520904,r,7.7920860938
698.9998520904,g,7.7920860938
700.0001840848,r,7.7766529418
700.0001840848,g,7.7766529418
701.0000720792,r,7.7990881764
701.0000720792,g,7.7990881764
701.9999600736,r,7.5588449593
701.9999600736,g,7.5588449593
702.9998480681,r,7.4956422649
702.9998480681,g,7.4956422649
704.0001800625,r,7.5662590595
704.0001800625,g,7.5662590595
705.0000680569,r,7.4346536711
705.0000680569,g,7.4346536711
705.9999560513,r,7.4127000128
705.9999560513,g,7.4127000128
706.9998440457,r,7.4618500237
706.9998440457,g,7.4618500237
708.0001760401,r,7.5081499236
708.0001760401,g,7.5081499236
709.0000640345,r,7.4253886471
709.0000640345,g,7.4253886471
709.9999520289,r,7.2186695355
709.9999520289,g,7.2186695355
710.9998400233,r,7.1865813094
710.9998400233,g,7.1865813094
712.0001720177,r,7.1685036912
712.0001720177,g,7.1685036912
713.0000600121,r,6.9830726822
713.0000600121,g,6.9830726822
713.9999480065,r,6.963299366
713.9999480065,g,6.963299366
714.9998360009,r,7.2387677766
714.9998360009,g,7.2387677766
716.0001679953,r,7.0093017251
716.0001679953,g,7.0093017251
717.0000559898,r,6.9168635315
717.0000559898,g,6.9168635315
717.9999439842,r,7.0135931476
717.9999439842,g,7.0135931476
718.9998319786,r,6.8518734307
718.9998319786,g,6.8518734307
720.000163973,r,6.8814797825
720.000163973,g,6.8814797825
721.0000519674,r,6.8822133799
721.0000519674,g,6.8822133799
721.9999399618,r,6.7177881559
721.9999399618,g,6.7177881559
722.9998279562,r,6.8843265455
722.9998279562,g,6.8843265455
724.0001599506,r,6.9500876477
724.0001599506,g,6.9500876477
725.000047945,r,6.9997347404
725.000047945,g,6.9997347404
725.9999359394,r,6.920819168
725.9999359394,g,6.920819168
726.9998239338,r,7.1423309095
726.9998239338,g,7.1423309095
728.0001559282,r,7.2015371445
728.0001559282,g,7.2015371445
729.0000439226,r,7.2973467564
729.0000439226,g,7.2973467564
729.999931917,r,7.4345236465
729.999931917,g,7.4345236465
730.9998199115,r,7.5172341845
730.9998199115,g,7.5172341845
732.0001519059,r,7.6329458923
732.0001519059,g,7.6329458923
733.0000399003,r,7.4031032021
733.0000399003,g,7.4031032021
733.9999278947,r,7.5208900836
733.9999278947,g,7.5208900836
734.9998158891,r,7.4009770777
734.9998158891,g,7.4009770777
736.0001478835,r,7.5669824317
736.0001478835,g,7.5669824317
737.0000358779,r,7.645139924
737.0000358779,g,7.645139924
737.9999238723,r,7.6773466404
737.9999238723,g,7.6773466404
738.9998118667,r,7.4123597959
738.9998118667,g,7.4123597959
740.0001438611,r,7.4251055999
740.0001438611,g,7.4251055999
741.0000318555,r,7.281147943
741.0000318555,g,7.281147943
741.9999198499,r,7.5815855437
741.9999198499,g,7.5815855437
742.9998078443,r,7.5594223662
742.9998078443,g,7.5594223662
744.0001398387,r,7.5486677847
744.0001398387,g,7.5486677847
745.0000278331,r,7.2239677213
745.0000278331,g,7.2239677213
745.9999158276,r,7.4440545129
745.9999158276,g,7.4440545129
746.999803822,r,7.3545588438
746.999803822,g,7.3545588438
748.0001358164,r,7.339053096
748.0001358164,g,7.339053096
749.0000238108,r,7.5079303886
749.0000238108,g,7.5079303886
749.9999118052,r,7.4207268046
749.9999118052,g,7.4207268046
750.9997997996,r,7.3674062084
750.9997997996,g,7.3674062084
752.000131794,r,7.3572430946
752.000131794,g,7.3572430946
753.0000197884,r,7.5967062678
753.0000197884,g,7.5967062678
753.9999077828,r,7.5245298949
753.9999077828,g,7.5245298949
754.9997957772,r,7.4528114365
754.9997957772,g,7.4528114365
756.0001277716,r,7.4740784156
756.0001277716,g,7.4740784156
757.000015766,r,7.4677926028
757.000015766,g,7.4677926028
757.9999037604,r,7.6489468408
757.9999037604,g,7.6489468408
758.9997917548,r,7.4899687499
758.9997917548,g,7.4899687499
760.0001237492,r,7.5344497316
760.0001237492,g,7.5344497316
761.0000117437,r,7.5027117032
761.0000117437,g,7.5027117032
761.9998997381,r,7.5641268643
761.9998997381,g,7.5641268643
762.9997877325,r,7.323106529
762.9997877325,g,7.323106529
764.0001197269,r,7.5937865592
764.0001197269,g,7.5937865592
765.0000077213,r,7.4368195743
765.0000077213,g,7.4368195743
765.9998957157,r,7.7627062721
765.9998957157,g,7.7627062721
766.9997837101,r,7.7779111752
766.9997837101,g,7.7779111752
768.0001157045,r,7.6892726915
768.0001157045,g,7.6892726915
769.0000036989,r,7.8864606515
769.0000036989,g,7.8864606515
769.9998916933,r,7.916094793
769.9998916933,g,7.916094793
770.9997796877,r,8.1130843556
770.9997796877,g,8.1130843556
772.0001116821,r,7.9992582028
772.0001116821,g,7.9992582028
772.9999996765,r,8.118634029
772.9999996765,g,8.118634029
773.9998876709,r,7.9941146514
773.9998876709,g,7.9941146514
775.0002196654,r,7.9410482114
775.0002196654,g,7.9410482114
776.0001076598,r,7.873144363
776.0001076598,g,7.873144363
776.9999956542,r,8.0884036022
776.9999956542,g,8.0884036022
777.9998836486,r,8.0269266083
777.9998836486,g,8.0269266083
779.000215643,r,8.0882145065
779.000215643,g,8.0882145065
780.0001036374,r,8.0657314842
780.0001036374,g,8.0657314842
780.9999916318,r,7.9568760215
780.9999916318,g,7.9568760215
781.9998796262,r,8.0921177313
781.9998796262,g,8.0921177313
783.0002116206,r,7.8231261122
783.0002116206,g,7.8231261122
784.000099615,r,7.6973167077
784.000099615,g,7.6973167077
784.9999876094,r,7.7640811812
784.9999876094,g,7.7640811812
785.9998756038,r,7.4785425982
785.9998756038,g,7.4785425982
787.0002075982,r,7.4477630195
787.0002075982,g,7.4477630195
788.0000955926,r,7.3352006909
788.0000955926,g,7.3352006909
788.9999835871,r,7.2117630332
788.9999835871,g,7.2117630332
789.9998715815,r,7.4895257179
789.9998715815,g,7.4895257179
791.0002035759,r,7.3369796026
791.0002035759,g,7.3369796026
792.0000915703,r,7.4497748588
792.0000915703,g,7.4497748588
792.9999795647,r,7.3323561755
792.9999795647,g,7.3323561755
793.9998675591,r,7.436373626
793.9998675591,g,7.436373626
795.0001995535,r,7.277210015
795.0001995535,g,7.277210015
796.0000875479,r,7.2046478579
796.0000875479,g,7.2046478579
796.9999755423,r,7.3284626855
796.9999755423,g,7.3284626855
797.9998635367,r,7.1528790793
797.9998635367,g,7.1528790793
799.0001955311,r,7.031944867
799.0001955311,g,7.031944867
800.0000835255,r,6.8776670938
800.0000835255,g,6.8776670938
800.9999715199,r,6.8494204672
800.9999715199,g,6.8494204672
801.9998595143,r,6.9318368364
801.9998595143,g,6.9318368364
803.0001915087,r,7.0364620775
803.0001915087,g,7.0364620775
804.0000795032,r,6.9133888874
804.0000795032,g,6.9133888874
804.9999674976,r,6.9444246306
804.9999674976,g,6.9444246306
805.999855492,r,6.6197779546
805.999855492,g,6.6197779546
807.0001874864,r,6.5234438258
807.0001874864,g,6.5234438258
808.0000754808,r,6.9538928858
808.0000754808,g,6.9538928858
808.9999634752,r,6.8289919515
808.9999634752,g,6.8289919515
809.9998514696,r,6.970908742
809.9998514696,g,6.970908742
811.000183464,r,7.0562050926
811.000183464,g,7.0562050926
812.0000714584,r,6.8596717715
812.0000714584,g,6.8596717715
812.9999594528,r,7.0045854307
812.9999594528,g,7.0045854307
813.9998474472,r,6.9044943018
813.9998474472,g,6.9044943018
815.0001794416,r,6.9476585397
815.0001794416,g,6.9476585397
816.000067436,r,6.8824354729
816.000067436,g,6.8824354729
816.9999554304,r,6.7594312242
816.9999554304,g,6.7594312242
817.9998434249,r,6.6315069173
817.9998434249,g,6.6315069173
819.0001754193,r,6.5498309972
819.0001754193,g,6.5498309972
820.0000634137,r,6.7330457173
820.0000634137,g,6.7330457173
820.9999514081,r,6.4855912248
820.9999514081,g,6.4855912248
821.9998394025,r,6.458664668
821.9998394025,g,6.458664668
823.0001713969,r,6.4454289871
823.0001713969,g,6.4454289871
824.0000593913,r,6.5315960167
824.0000593913,g,6.5315960167
824.9999473857,r,6.4099604364
824.9999473857,g,6.4099604364
825.9998353801,r,6.2876065071
825.9998353801,g,6.2876065071
827.0001673745,r,6.1464892279
827.0001673745,g,6.1464892279
828.0000553689,r,6.0679132012
828.0000553689,g,6.0679132012
828.9999433633,r,6.1199528947
828.9999433633,g,6.1199528947
829.9998313577,r,5.9010316316
829.9998313577,g,5.9010316316
831.0001633521,r,6.3098263475
831.0001633521,g,6.3098263475
832.0000513465,r,6.1797655756
832.0000513465,g,6.1797655756
832.999939341,r,5.9766016517
832.999939341,g,5.9766016517
833.9998273354,r,5.9731169157
833.9998273354,g,5.9731169157
835.0001593298,r,5.6850718281
835.0001593298,g,5.6850718281
836.0000473242,r,5.7857022952
836.0000473242,g,5.7857022952
836.9999353186,r,5.6843616184
836.9999353186,g,5.6843616184
837.999823313,r,5.55646871
837.999823313,g,5.55646871
839.0001553074,r,5.5696193259
839.0001553074,g,5.5696193259
840.0000433018,r,5.3475695619
840.0000433018,g,5.3475695619
840.9999312962,r,5.6776096728
840.9999312962,g,5.6776096728
841.9998192906,r,5.5755108973
841.9998192906,g,5.5755108973
843.000151285,r,5.7713002417
843.000151285,g,5.7713002417
844.0000392794,r,5.7935030536
844.0000392794,g,5.7935030536
844.9999272738,r,5.8484363616
844.9999272738,g,5.8484363616
845.9998152682,r,5.7335276706
845.9998152682,g,5.7335276706
847.0001472627,r,5.9057966922
847.0001472627,g,5.9057966922
848.0000352571,r,6.0274092631
848.0000352571,g,6.0274092631
848.9999232515,r,6.2488931549
848.9999232515,g,6.2488931549
849.9998112459,r,6.4163855508
849.9998112459,g,6.4163855508
851.0001432403,r,6.3188652237
851.0001432403,g,6.3188652237
852.0000312347,r,6.2488534787
852.0000312347,g,6.2488534787
852.9999192291,r,6.2308639447
852.9999192291,g,6.2308639447
853.9998072235,r,6.0307643688
853.9998072235,g,6.0307643688
855.0001392179,r,5.9257108111
855.0001392179,g,5.9257108111
856.0000272123,r,5.9110406048
856.0000272123,g,5.9110406048
856.9999152067,r,5.8691090687
856.9999152067,g,5.8691090687
857.9998032011,r,5.9736910477
857.9998032011,g,5.9736910477
859.0001351955,r,5.9960320997
859.0001351955,g,5.9960320997
860.0000231899,r,6.3098574051
860.0000231899,g,6.3098574051
860.9999111843,r,6.2235811059
860.9999111843,g,6.2235811059
861.9997991788,r,6.10503476
861.9997991788,g,6.10503476
863.0001311732,r,6.191775004
863.0001311732,g,6.191775004
864.0000191676,r,5.9395680467
864.0000191676,g,5.9395680467
864.999907162,r,5.854313767
864.999907162,g,5.854313767
865.9997951564,r,5.7730668007
865.9997951564,g,5.7730668007
867.0001271508,r,5.8296243034
867.0001271508,g,5.8296243034
868.0000151452,r,6.1858351288
868.0000151452,g,6.1858351288
868.9999031396,r,6.0266899966
868.9999031396,g,6.0266899966
869.999791134,r,5.791266686
869.999791134,g,5.791266686
871.0001231284,r,5.5109925686
871.0001231284,g,5.5109925686
872.0000111228,r,5.7546454585
872.0000111228,g,5.7546454585
872.9998991172,r,5.640529817
872.9998991172,g,5.640529817
873.9997871116,r,5.7131318403
873.9997871116,g,5.7131318403
875.000119106,r,5.7170990219
875.000119106,g,5.7170990219
876.0000071005,r,5.6297852833
876.0000071005,g,5.6297852833
876.9998950949,r,5.5947872472
876.9998950949,g,5.5947872472
877.9997830893,r,5.723011323
877.9997830893,g,5.723011323
879.0001150837,r,5.7537805094
879.0001150837,g,5.7537805094
880.0000030781,r,5.6839367293
880.0000030781,g,5.6839367293
880.9998910725,r,5.8401378341
880.9998910725,g,5.8401378341
881.9997790669,r,6.0312695125
881.9997790669,g,6.0312695125
883.0001110613,r,5.9669560594
883.0001110613,g,5.9669560594
883.9999990557,r,5.8252621334
883.9999990557,g,5.8252621334
