obsTimes,filter,absFlux
82.0001395414,r,5.7399318752
82.0001395414,g,5.7399318752
83.0000275358,r,5.8802606289
83.0000275358,g,5.8802606289
83.9999155302,r,5.9414260335
83.9999155302,g,5.9414260335
84.9998035246,r,6.0682958194
84.9998035246,g,6.0682958194
86.000135519,r,6.1266104751
86.000135519,g,6.1266104751
87.0000235134,r,6.2865932054
87.0000235134,g,6.2865932054
87.9999115078,r,6.2336525489
87.9999115078,g,6.2336525489
88.9997995022,r,6.302311662
88.9997995022,g,6.302311662
90.0001314966,r,6.436129798
90.0001314966,g,6.436129798
91.000019491,r,6.3218660088
91.000019491,g,6.3218660088
91.9999074854,r,6.3386692385
91.9999074854,g,6.3386692385
92.9997954798,r,6.4022442505
92.9997954798,g,6.4022442505
94.0001274742,r,6.3152650127
94.0001274742,g,6.3152650127
95.0000154687,r,6.3202351749
95.0000154687,g,6.3202351749
95.9999034631,r,6.2453392054
95.9999034631,g,6.2453392054
96.9997914575,r,6.341347757
96.9997914575,g,6.341347757
98.0001234519,r,6.4982978542
98.0001234519,g,6.4982978542
99.0000114463,r,6.2100042551
99.0000114463,g,6.2100042551
99.9998994407,r,6.3609227067
99.9998994407,g,6.3609227067
100.9997874351,r,6.1922567072
100.9997874351,g,6.1922567072
102.0001194295,r,6.344883437
102.0001194295,g,6.344883437
103.0000074239,r,6.5230001729
103.0000074239,g,6.5230001729
103.9998954183,r,6.5919750175
103.9998954183,g,6.5919750175
104.9997834127,r,6.6522493469
104.9997834127,g,6.6522493469
106.0001154071,r,6.5474788312
106.0001154071,g,6.5474788312
107.0000034015,r,6.4323573313
107.0000034015,g,6.4323573313
107.9998913959,r,6.4845989903
107.9998913959,g,6.4845989903
108.9997793904,r,6.3294146164
108.9997793904,g,6.3294146164
110.0001113848,r,6.3199167224
110.0001113848,g,6.3199167224
110.9999993792,r,6.1692957056
110.9999993792,g,6.1692957056
111.9998873736,r,6.1778712517
111.9998873736,g,6.1778712517
113.000219368,r,6.1552993703
113.000219368,g,6.1552993703
114.0001073624,r,6.2871310523
114.0001073624,g,6.2871310523
114.9999953568,r,6.1072979492
114.9999953568,g,6.1072979492
115.9998833512,r,6.4880535025
115.9998833512,g,6.4880535025
117.0002153456,r,6.7833250159
117.0002153456,g,6.7833250159
118.00010334,r,6.4934229932
118.00010334,g,6.4934229932
118.9999913344,r,6.6559835988
118.9999913344,g,6.6559835988
119.9998793288,r,6.6916533267
119.9998793288,g,6.6916533267
121.0002113232,r,6.7186560054
121.0002113232,g,6.7186560054
122.0000993176,r,6.7039170021
122.0000993176,g,6.7039170021
122.9999873121,r,6.6195011177
122.9999873121,g,6.6195011177
123.9998753065,r,6.8119658423
123.9998753065,g,6.8119658423
125.0002073009,r,6.8581950353
125.0002073009,g,6.8581950353
126.0000952953,r,6.7270146934
126.0000952953,g,6.7270146934
126.9999832897,r,6.6136473388
126.9999832897,g,6.6136473388
127.9998712841,r,6.6614059154
127.9998712841,g,6.6614059154
129.0002032785,r,6.808936262
129.0002032785,g,6.808936262
130.0000912729,r,6.8389487161
130.0000912729,g,6.8389487161
130.9999792673,r,7.0334323319
130.9999792673,g,7.0334323319
131.9998672617,r,7.061437849
131.9998672617,g,7.061437849
133.0001992561,r,7.2801876706
133.0001992561,g,7.2801876706
134.0000872505,r,7.3569975935
134.0000872505,g,7.3569975935
134.9999752449,r,7.8246395571
134.9999752449,g,7.8246395571
135.9998632393,r,7.540592349
135.9998632393,g,7.540592349
137.0001952337,r,7.5700633978
137.0001952337,g,7.5700633978
138.0000832282,r,7.7403489611
138.0000832282,g,7.7403489611
138.9999712226,r,7.5579927806
138.9999712226,g,7.5579927806
139.999859217,r,7.2954064103
139.999859217,g,7.2954064103
141.0001912114,r,7.3641204353
141.0001912114,g,7.3641204353
142.0000792058,r,7.3474258927
142.0000792058,g,7.3474258927
142.9999672002,r,7.1987584716
142.9999672002,g,7.1987584716
143.9998551946,r,7.3107054185
143.9998551946,g,7.3107054185
145.000187189,r,7.2470929191
145.000187189,g,7.2470929191
146.0000751834,r,7.3927108807
146.0000751834,g,7.3927108807
146.9999631778,r,7.3048123663
146.9999631778,g,7.3048123663
147.9998511722,r,7.6239333304
147.9998511722,g,7.6239333304
149.0001831666,r,7.6975415815
149.0001831666,g,7.6975415815
150.000071161,r,7.523725647
150.000071161,g,7.523725647
150.9999591554,r,7.4401457863
150.9999591554,g,7.4401457863
151.9998471499,r,7.6537440657
151.9998471499,g,7.6537440657
153.0001791443,r,7.8452545332
153.0001791443,g,7.8452545332
154.0000671387,r,7.8318971996
154.0000671387,g,7.8318971996
154.9999551331,r,7.6585079651
154.9999551331,g,7.6585079651
155.9998431275,r,7.9762231399
155.9998431275,g,7.9762231399
157.0001751219,r,8.2289886581
157.0001751219,g,8.2289886581
158.0000631163,r,8.1463756558
158.0000631163,g,8.1463756558
158.9999511107,r,7.9531396971
158.9999511107,g,7.9531396971
159.9998391051,r,7.858345662
159.9998391051,g,7.858345662
161.0001710995,r,7.8524274286
161.0001710995,g,7.8524274286
162.0000590939,r,7.9725127924
162.0000590939,g,7.9725127924
162.9999470883,r,7.9889775509
